ts,o,h,l,c,vol,volCcy,volCcyQuote,confirm,ma5,ma20
2024-02-04,42937.4,43575.0,42150.0,42640.2,10950738,109507.38,4697054873.775,1,0.0,0.0
2024-02-05,42641.5,43287.7,42320.1,43253.8,9132626,91326.26,3908244842.621,1,0.0,0.0
2024-02-06,43253.8,43399.5,42788.0,43068.3,7023192,70231.92,3025827376.177,1,0.0,0.0
2024-02-07,43068.4,45470.0,43006.5,45434.1,14351087,143510.87,6376651991.487,1,0.0,0.0
2024-02-08,45434.2,48000.0,44900.5,47159.3,18984493,189844.93,8821931759.334,1,44311.14,0.0
2024-02-09,47159.4,48244.4,46842.6,47346.1,8975859,89758.59,4256631096.516,1,45252.32,0.0
2024-02-10,47346.1,48628.0,47160.0,48159.4,9168227,91682.27,4406357309.569,1,46233.44,0.0
2024-02-11,48159.5,49984.0,47707.0,49938.9,13426865,134268.65,6517629073.588,1,47607.56,0.0
2024-02-12,49938.8,50438.8,48370.4,48748.5,17485737,174857.37,8682037884.878,1,48270.44,0.0
2024-02-13,48748.6,52099.1,48282.0,51613.0,18256269,182562.69,9237912209.277,1,49161.18,0.0
2024-02-14,51613,52881.3,51188.8,51941.4,15403832,154038.32,8019539488.733,1,50080.24,0.0
2024-02-15,51941.5,52598.4,51323.1,51895.2,12474143,124741.43,6486859037.411,1,50827.4,0.0
2024-02-16,51895.2,52263.0,50621.0,50980.0,9148332,91483.32,4715585089.22,1,51035.62,0.0
2024-02-17,50980,52091.6,50734.4,51784.0,7956579,79565.79,4105592123.02,1,51642.72,0.0
2024-02-18,51784,52498.5,51607.9,52134.6,7619526,76195.26,3974927765.011,1,51747.04,0.0
2024-02-19,52134.6,53080.0,51281.2,51670.8,14705287,147052.87,7652740113.214,1,51692.92,0.0
2024-02-20,51670.8,52545.8,50470.0,51164.2,13965497,139654.97,7186610448.522,1,51546.72,0.0
2024-02-21,51164.2,52060.0,50670.0,51601.6,10870160,108701.6,5591630462.749,1,51671.04,0.0
2024-02-22,51600.2,52108.3,50777.0,50916.4,10257630,102576.3,5258250687.694,1,51497.52,0.0
2024-02-23,50915.8,51200.0,50533.0,51110.1,5088210,50882.1,2592148931.088,1,51292.62,49128.0
2024-02-24,51110.1,51921.0,51107.3,51530.0,5091940,50919.4,2627247359.606,1,51264.46,49572.48
2024-02-25,51529.9,52853.8,50907.0,52849.2,8471551,84715.51,4379405662.846,1,51601.46,50052.26
2024-02-26,52849.1,57641.4,52759.7,56757.8,25682025,256820.25,14286090449.123,1,52632.7,50736.73
2024-02-27,56757.9,61453.3,56199.0,60998.3,25021766,250217.66,14707390680.421,1,54649.08,51514.94
2024-02-28,60998.4,64480.3,58627.9,62787.2,34485817,344858.17,21339844667.858,1,56984.5,52296.34
